,value
0,5.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,29.0
8,0.0
9,0.0
10,42.0
11,0.0
12,0.0
13,2.0
14,73.0
15,0.0
16,0.0
17,106.0
18,0.0
19,0.0
20,15.0
21,112.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,9.0
28,207.0
29,0.0
30,3.0
31,81.0
32,0.0
33,0.0
34,111.0
35,413.0
36,0.0
37,31.0
38,121.0
39,0.0
40,0.0
41,424.0
42,286.0
43,18.0
44,0.0
45,160.0
46,0.0
47,9.0
48,348.0
49,246.0
50,0.0
51,90.0
52,679.0
53,0.0
54,41.0
55,1296.0
56,118.0
57,0.0
58,10.0
59,48.0
60,0.0
61,0.0
62,417.0
63,267.0
64,0.0
65,111.0
66,173.0
67,26.0
68,6.0
69,470.0
70,133.0
71,6.0
72,46.0
73,116.0
74,0.0
75,0.0
76,257.0
77,431.0
78,0.0
79,39.0
80,214.0
81,24.0
82,37.0
83,583.0
84,49.0
85,0.0
86,3.0
87,90.0
88,10.0
89,30.0
90,169.0
91,305.0
92,0.0
93,0.0
94,37.0
95,16.0
96,67.0
97,319.0
98,113.0
99,0.0
100,97.0
101,31.0
102,0.0
103,19.0
104,319.0
105,125.0
106,2.0
107,54.0
108,197.0
109,0.0
110,43.0
111,485.0
112,133.0
113,0.0
114,37.0
115,84.0
116,25.0
117,19.0
118,229.0
119,171.0
120,0.0
121,73.0
122,95.0
123,75.0
124,0.0
125,693.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,2.0
133,2.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,97.0
141,0.0
142,57.0
143,74.0
144,0.0
145,0.0
146,468.0
147,242.0
148,0.0
149,102.0
150,259.0
151,129.0
152,36.0
153,952.0
154,53.0
155,55.0
156,55.0
157,43.0
158,0.0
159,8.0
160,358.0
161,140.0
162,6.0
163,55.0
164,246.0
165,0.0
166,26.0
167,1083.0
168,91.0
169,0.0
170,0.0
171,31.0
172,0.0
173,0.0
174,164.0
175,76.0
176,0.0
177,28.0
178,150.0
179,63.0
180,17.0
181,541.0
182,180.0
183,0.0
184,15.0
185,85.0
186,0.0
187,0.0
188,206.0
189,111.0
190,6.0
191,14.0
192,187.0
193,0.0
194,75.0
195,593.0
196,66.0
197,5.0
198,29.0
199,120.0
200,26.0
201,45.0
202,528.0
203,285.0
204,0.0
205,46.0
206,108.0
207,0.0
208,0.0
209,810.0
210,79.0
211,0.0
212,21.0
213,66.0
214,0.0
215,37.0
216,730.0
217,185.0
218,4.0
219,69.0
220,132.0
221,0.0
222,0.0
223,645.0
224,116.0
225,0.0
226,37.0
227,45.0
228,0.0
229,0.0
230,688.0
231,159.0
232,0.0
233,43.0
234,73.0
235,0.0
236,8.0
237,499.0
238,110.0
239,0.0
240,94.0
241,13.0
242,0.0
243,0.0
244,669.0
245,112.0
246,0.0
247,14.0
248,48.0
249,0.0
250,13.0
251,440.0
252,331.0
253,48.0
254,278.0
255,188.0
256,0.0
257,0.0
258,1683.0
259,211.0
260,0.0
261,70.0
262,30.0
263,21.0
264,0.0
265,1074.0
266,5.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
