,value
0,4.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,30.0
8,0.0
9,14.0
10,56.0
11,0.0
12,0.0
13,54.0
14,28.0
15,0.0
16,23.0
17,1.0
18,0.0
19,0.0
20,13.0
21,578.0
22,3.0
23,68.0
24,221.0
25,0.0
26,0.0
27,199.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,43.0
35,251.0
36,0.0
37,0.0
38,88.0
39,0.0
40,0.0
41,80.0
42,138.0
43,0.0
44,5.0
45,13.0
46,0.0
47,0.0
48,115.0
49,450.0
50,8.0
51,20.0
52,221.0
53,0.0
54,28.0
55,209.0
56,67.0
57,0.0
58,14.0
59,0.0
60,15.0
61,0.0
62,151.0
63,725.0
64,4.0
65,19.0
66,301.0
67,48.0
68,34.0
69,355.0
70,65.0
71,13.0
72,25.0
73,12.0
74,0.0
75,16.0
76,78.0
77,448.0
78,21.0
79,41.0
80,294.0
81,0.0
82,0.0
83,458.0
84,135.0
85,0.0
86,14.0
87,16.0
88,0.0
89,3.0
90,143.0
91,603.0
92,34.0
93,84.0
94,114.0
95,14.0
96,0.0
97,437.0
98,80.0
99,3.0
100,36.0
101,26.0
102,0.0
103,0.0
104,17.0
105,388.0
106,54.0
107,106.0
108,504.0
109,0.0
110,27.0
111,533.0
112,30.0
113,0.0
114,12.0
115,27.0
116,0.0
117,0.0
118,53.0
119,286.0
120,40.0
121,41.0
122,280.0
123,0.0
124,0.0
125,382.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,14.0
141,0.0
142,49.0
143,0.0
144,0.0
145,0.0
146,68.0
147,195.0
148,6.0
149,0.0
150,401.0
151,0.0
152,12.0
153,268.0
154,0.0
155,0.0
156,21.0
157,0.0
158,0.0
159,0.0
160,24.0
161,228.0
162,0.0
163,14.0
164,168.0
165,16.0
166,3.0
167,331.0
168,5.0
169,0.0
170,0.0
171,24.0
172,0.0
173,0.0
174,70.0
175,48.0
176,0.0
177,0.0
178,32.0
179,0.0
180,0.0
181,121.0
182,3.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,126.0
190,0.0
191,0.0
192,45.0
193,0.0
194,0.0
195,65.0
196,1.0
197,0.0
198,22.0
199,0.0
200,0.0
201,0.0
202,1.0
203,17.0
204,0.0
205,0.0
206,85.0
207,0.0
208,0.0
209,112.0
210,6.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,3.0
217,6.0
218,0.0
219,4.0
220,50.0
221,0.0
222,0.0
223,99.0
224,4.0
225,0.0
226,6.0
227,0.0
228,0.0
229,0.0
230,20.0
231,0.0
232,0.0
233,0.0
234,15.0
235,0.0
236,0.0
237,17.0
238,0.0
239,0.0
240,0.0
241,9.0
242,0.0
243,0.0
244,45.0
245,17.0
246,0.0
247,0.0
248,9.0
249,0.0
250,0.0
251,13.0
252,20.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,64.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
