,value
359,34
360,94
361,130
362,301
363,159
364,221
365,29
366,355
367,5
368,0
369,53
370,20
371,58
372,95
373,15
374,140
375,9
376,0
377,170
378,19
379,277
380,0
381,170
382,81
383,81
384,143
385,27
386,69
387,63
388,78
389,122
390,930
391,31
392,235
393,41
394,90
395,27
396,150
397,90
398,858
399,0
400,76
401,543
402,0
403,80
404,80
405,205
406,0
407,199
408,27
409,375
410,98
411,35
412,68
413,200
414,177
415,0
416,62
417,89
418,186
419,196
420,0
421,64
422,85
423,241
424,111
425,321
426,139
427,12
428,139
429,108
430,2
431,57
432,0
433,0
434,38
435,11
436,0
437,69
438,46
439,140
440,114
441,52
442,72
443,0
444,401
445,138
446,146
447,216
448,53
449,58
450,32
451,130
452,18
453,375
454,0
455,114
456,149
457,142
458,113
459,95
460,9
461,33
462,0
463,163
464,30
465,128
466,20
467,73
468,37
469,0
470,3
471,0
472,31
473,111
474,26
475,19
476,81
477,48
478,14
479,564
480,79
481,312
482,282
483,0
484,84
485,546
486,39
487,253
488,89
489,33
490,439
491,346
492,109
493,17
494,71
495,36
496,235
497,61
498,219
499,202
500,489
501,106
502,46
503,31
504,47
505,232
506,0
507,105
508,44
509,171
510,324
511,166
512,145
513,174
514,46
515,79
516,368
517,0
518,0
519,1
520,28
521,0
522,16
523,35
524,133
525,18
526,0
527,70
528,168
529,38
530,0
531,55
532,17
533,123
534,260
535,58
536,78
537,170
538,108
539,51
540,198
541,293
542,0
543,8
544,720
545,27
546,66
547,152
548,81
549,75
550,263
551,438
552,305
553,81
554,124
555,279
556,28
557,569
558,55
559,0
560,398
561,81
562,99
563,106
564,82
565,171
566,76
567,121
568,0
569,106
570,62
571,73
572,216
573,194
574,184
575,40
576,0
577,33
578,0
579,57
580,73
581,174
582,162
583,77
584,0
585,0
586,48
587,229
588,156
589,92
590,76
591,225
592,0
593,39
594,858
595,98
596,39
597,42
598,91
599,154
600,0
601,66
602,93
603,35
604,313
605,160
606,61
607,120
608,0
609,108
610,276
611,61
612,50
613,49
614,0
615,171
616,210
617,357
618,9
619,157
620,487
621,442
622,232
623,324
624,110
625,149
626,0
627,2
628,158
629,410
630,117
631,140
632,62
633,21
634,192
635,151
636,10
637,75
638,17
639,20
640,192
641,249
642,345
643,72
644,129
645,68
646,133
647,326
648,27
649,0
650,227
651,34
652,61
653,102
654,385
655,753
656,33
657,79
658,209
659,403
660,185
661,3
662,57
663,0
664,79
665,0
666,153
667,55
668,178
669,117
670,7
671,61
672,365
673,156
674,71
675,486
676,27
677,30
678,182
679,207
680,111
681,13
682,39
683,223
684,42
685,765
686,89
687,746
688,143
689,207
690,149
691,0
692,96
693,64
694,130
695,0
696,323
697,143
698,29
699,48
700,28
701,123
702,0
703,67
704,95
705,381
706,47
707,307
708,24
709,477
710,54
711,122
712,63
713,294
714,176
715,104
716,157
717,91
718,3
719,87
720,0
721,217
722,38
723,36
724,308
725,162
726,243
727,61
728,63
729,92
730,102
731,20
732,132
733,282
734,49
735,10
736,197
737,78
738,0
739,256
740,4
741,108
742,338
743,45
744,430
745,4
746,401
747,91
748,90
749,94
750,0
751,69
752,137
753,272
754,93
755,117
756,60
757,93
758,15
759,83
760,39
761,68
762,19
763,5
764,77
765,156
766,130
767,108
768,162
769,4
770,45
771,7
772,17
773,174
774,46
775,159
776,45
777,84
778,184
779,101
780,164
781,154
782,72
783,78
784,273
785,43
786,57
787,116
788,256
789,95
790,5
791,226
792,406
793,118
794,361
795,84
796,136
797,59
798,18
799,32
800,114
801,49
802,77
803,89
804,176
805,288
806,0
807,0
808,128
809,225
810,45
811,122
812,0
813,403
814,0
815,36
816,151
817,279
818,67
819,61
820,95
821,51
822,173
823,184
824,39
825,461
826,176
827,69
828,210
829,253
830,73
831,639
832,79
833,43
834,74
835,52
836,344
837,190
838,31
839,224
840,69
841,174
842,55
843,53
844,164
845,78
846,105
847,182
848,146
849,112
850,274
851,106
852,121
853,95
854,208
855,89
856,881
857,223
858,51
859,91
860,9
861,301
862,179
863,172
864,47
865,16
866,16
867,112
868,517
869,131
870,110
871,42
872,354
873,184
874,232
875,110
876,72
877,391
878,25
879,75
880,234
881,0
882,132
883,80
884,94
885,108
886,61
887,0
888,194
889,124
890,64
891,101
892,82
893,124
894,0
895,66
896,71
897,95
898,115
899,134
900,157
901,197
902,68
903,26
904,242
905,134
906,169
907,135
908,194
909,84
910,156
911,53
912,474
913,0
914,7
915,115
916,83
917,161
918,201
919,67
920,159
921,169
922,47
923,96
924,5
925,264
926,471
927,56
928,1290
929,686
930,33
931,0
932,39
933,74
934,30
935,36
936,368
937,202
938,120
939,50
940,5
941,94
942,57
943,58
944,91
945,61
946,63
947,97
948,148
949,69
950,91
951,25
952,68
953,125
954,107
955,118
956,75
957,93
958,58
959,144
960,62
961,90
962,151
963,0
964,73
965,35
966,38
967,35
968,158
969,28
970,43
971,67
972,94
973,65
974,0
975,0
976,253
977,72
978,35
979,23
980,102
981,0
982,120
983,71
984,100
985,49
986,32
987,119
988,61
989,93
990,0
991,155
992,46
993,110
994,109
995,48
996,134
997,222
998,259
999,166
1000,239
1001,42
1002,0
1003,66
1004,263
1005,20
1006,191
1007,109
1008,46
1009,185
1010,229
1011,117
1012,263
1013,0
1014,115
1015,108
1016,364
1017,115
1018,0
1019,85
1020,268
1021,0
1022,151
1023,134
1024,72
1025,6
1026,59
1027,49
1028,35
1029,0
1030,46
1031,0
1032,294
1033,88
1034,572
1035,224
1036,44
1037,279
1038,79
1039,185
1040,0
1041,66
1042,71
1043,85
1044,47
1045,91
1046,146
1047,138
1048,30
1049,255
1050,90
1051,36
1052,26
1053,27
1054,106
1055,121
1056,312
1057,109
1058,309
1059,12
1060,203
1061,280
1062,24
1063,3
1064,111
1065,28
1066,184
1067,0
1068,0
1069,278
1070,284
1071,88
1072,225
1073,4
1074,112
1075,0
1076,279
1077,188
1078,28
1079,163
1080,31
1081,38
1082,27
1083,147
1084,564
1085,159
1086,2
1087,55
1088,608
1089,61
1090,0
1091,48
1092,242
1093,3
1094,186
1095,64
1096,194
1097,5
1098,226
1099,0
1100,144
1101,230
1102,905
1103,166
1104,0
1105,18
1106,92
1107,73
1108,0
1109,219
1110,62
1111,91
1112,85
1113,0
1114,267
1115,18
1116,303
1117,178
1118,172
1119,26
1120,122
1121,138
1122,86
1123,658
1124,116
1125,191
1126,0
1127,39
1128,47
1129,54
1130,179
1131,96
1132,209
1133,97
1134,612
1135,66
1136,126
1137,418
1138,289
1139,161
1140,235
1141,73
1142,30
1143,0
1144,96
1145,140
1146,117
1147,57
1148,156
1149,54
1150,91
1151,0
1152,129
1153,74
1154,56
1155,73
1156,0
1157,102
1158,0
1159,360
1160,240
1161,284
1162,62
1163,220
1164,0
1165,269
1166,260
1167,0
1168,556
1169,61
1170,109
1171,46
1172,42
1173,0
1174,35
1175,102
1176,24
1177,586
1178,95
1179,0
1180,66
1181,9
1182,170
1183,214
1184,0
1185,257
1186,58
1187,92
1188,74
1189,133
1190,0
1191,307
1192,69
1193,0
1194,0
1195,0
1196,304
1197,0
1198,316
1199,239
1200,27
1201,0
1202,385
1203,214
1204,64
1205,137
1206,0
1207,332
1208,5
1209,0
1210,0
1211,63
1212,0
1213,66
1214,160
1215,55
1216,206
1217,54
1218,93
1219,53
1220,0
1221,71
1222,151
1223,53
1224,361
1225,0
1226,20
1227,50
1228,178
1229,0
1230,123
1231,181
1232,142
1233,120
1234,93
1235,48
1236,36
1237,83
1238,0
1239,153
1240,165
1241,46
1242,132
1243,0
1244,174
1245,0
1246,101
1247,74
1248,216
1249,98
1250,38
1251,318
1252,53
1253,52
1254,71
1255,919
1256,13
1257,42
1258,68
1259,57
1260,0
1261,42
1262,473
1263,25
1264,124
1265,56
1266,44
1267,0
1268,172
1269,94
1270,105
1271,0
1272,0
1273,161
1274,326
1275,156
1276,0
1277,163
1278,349
1279,252
1280,222
1281,54
1282,84
1283,217
1284,102
1285,576
1286,127
1287,76
1288,138
1289,67
1290,72
1291,237
1292,39
1293,47
1294,59
1295,3
1296,16
1297,55
1298,110
1299,54
1300,0
1301,51
1302,44
1303,0
1304,0
1305,0
1306,276
1307,8
1308,58
1309,327
1310,143
1311,0
1312,75
1313,59
1314,29
1315,64
1316,55
1317,150
1318,85
1319,24
1320,119
1321,160
1322,342
1323,46
1324,0
1325,0
1326,180
1327,6
1328,12
1329,54
1330,157
1331,0
1332,80
1333,167
1334,32
1335,62
1336,274
1337,98
1338,129
1339,115
1340,490
1341,115
1342,94
1343,637
1344,83
1345,735
1346,51
1347,33
1348,22
1349,66
1350,121
1351,49
1352,39
1353,84
1354,210
1355,74
1356,37
1357,106
1358,73
1359,119
1360,199
1361,126
1362,288
1363,0
1364,39
1365,51
1366,231
1367,65
1368,367
1369,13
1370,99
1371,95
1372,70
1373,125
1374,653
1375,444
1376,153
1377,138
1378,249
1379,1560
1380,75
1381,84
1382,174
1383,260
1384,76
1385,283
1386,41
1387,47
1388,51
1389,51
1390,314
1391,51
1392,93
1393,60
1394,26
1395,101
1396,391
1397,125
1398,289
1399,195
1400,67
1401,90
1402,159
1403,161
1404,200
1405,265
1406,72
1407,74
1408,0
1409,138
1410,31
1411,60
1412,73
1413,362
1414,60
1415,154
1416,2
1417,257
1418,100
1419,192
1420,113
1421,0
1422,83
1423,65
1424,53
1425,283
1426,132
1427,92
1428,173
1429,47
1430,220
1431,52
1432,64
1433,82
1434,176
1435,40
1436,44
1437,202
1438,163
1439,41
1440,153
1441,0
1442,72
1443,0
1444,58
1445,47
1446,69
1447,188
1448,63
1449,567
1450,0
1451,211
1452,30
1453,337
1454,18
1455,114
1456,68
1457,0
1458,84
1459,0
1460,59
1461,350
1462,205
1463,160
1464,200
1465,44
1466,5
1467,28
1468,89
1469,136
1470,270
1471,0
1472,24
1473,50
1474,146
1475,334
1476,0
1477,46
1478,256
1479,0
1480,21
1481,0
1482,126
1483,99
1484,623
1485,335
1486,76
1487,33
1488,71
1489,10
1490,123
1491,1521
1492,49
1493,67
1494,79
1495,211
1496,89
1497,177
1498,33
1499,0
1500,163
1501,207
1502,212
1503,324
1504,438
1505,58
1506,238
1507,26
1508,152
1509,363
1510,40
1511,169
1512,54
1513,27
1514,141
1515,111
1516,75
1517,210
1518,104
1519,42
1520,9
1521,0
1522,81
1523,393
1524,187
1525,55
1526,112
1527,63
1528,202
1529,14
1530,135
1531,0
1532,0
1533,29
1534,0
1535,118
1536,172
1537,77
1538,97
1539,0
1540,225
1541,0
1542,256
1543,17
1544,12
1545,45
1546,362
1547,32
1548,41
1549,0
1550,126
1551,189
1552,88
1553,137
1554,40
1555,313
1556,75
1557,273
1558,0
1559,92
1560,17
1561,2
1562,97
1563,59
1564,167
1565,73
1566,75
1567,0
1568,0
1569,4
1570,0
1571,41
1572,87
1573,153
1574,78
1575,230
1576,247
1577,118
1578,48
1579,236
1580,144
1581,194
1582,117
1583,161
1584,134
1585,320
1586,992
1587,81
1588,28
1589,0
1590,57
1591,61
1592,41
1593,25
1594,58
1595,87
1596,144
1597,6
1598,192
1599,0
1600,166
1601,40
1602,36
1603,0
1604,176
1605,290
1606,29
1607,91
1608,196
1609,124
1610,38
1611,100
1612,41
1613,123
1614,165
1615,33
1616,188
1617,144
1618,40
1619,188
1620,59
1621,195
1622,98
1623,136
1624,0
1625,169
1626,267
1627,475
1628,6
1629,103
1630,0
1631,0
1632,0
1633,64
1634,0
1635,69
1636,0
1637,93
1638,98
1639,205
1640,118
1641,0
1642,134
1643,0
1644,146
1645,330
1646,86
1647,166
1648,93
1649,14
1650,232
1651,103
1652,149
1653,98
1654,51
1655,61
1656,741
1657,95
1658,63
1659,68
1660,223
1661,98
1662,60
1663,44
1664,41
1665,60
1666,0
1667,33
1668,89
1669,488
1670,171
1671,55
1672,69
1673,294
1674,110
1675,776
1676,214
1677,131
1678,0
1679,65
1680,19
1681,113
1682,45
1683,23
1684,76
1685,131
1686,709
1687,106
1688,140
1689,212
1690,92
1691,29
1692,87
1693,337
1694,488
1695,0
1696,365
1697,20
1698,431
1699,102
1700,44
1701,299
1702,69
1703,410
1704,200
1705,378
1706,12
1707,212
1708,161
1709,187
1710,43
1711,260
1712,34
1713,172
1714,71
1715,0
1716,71
1717,0
1718,193
1719,0
1720,57
1721,56
1722,147
1723,164
1724,128
1725,122
1726,39
1727,0
1728,0
1729,83
1730,221
1731,0
1732,0
1733,299
1734,108
1735,16
1736,25
1737,212
1738,84
1739,25
1740,131
1741,86
1742,53
1743,0
1744,106
1745,427
1746,200
1747,136
1748,267
1749,8
1750,0
1751,291
1752,189
1753,242
1754,395
1755,174
1756,0
1757,35
1758,193
1759,225
1760,53
1761,10
1762,111
1763,426
1764,129
1765,215
1766,131
1767,211
1768,46
1769,20
1770,3
1771,303
1772,110
1773,44
1774,366
1775,44
1776,718
1777,163
1778,278
1779,73
1780,60
1781,47
1782,94
1783,318
1784,123
1785,65
1786,62
1787,65
1788,296
1789,85
1790,203
1791,54
1792,114
1793,18
1794,15
1795,67
1796,361
1797,0
1798,23
1799,0
1800,799
1801,0
1802,196
1803,136
1804,18
1805,47
1806,0
1807,110
1808,88
1809,232
1810,89
1811,250
1812,135
1813,0
1814,59
1815,248
1816,14
1817,264
1818,58
1819,5
1820,93
1821,58
1822,55
1823,303
1824,27
1825,156
1826,104
1827,301
1828,118
1829,43
1830,24
1831,143
1832,59
1833,30
1834,143
1835,357
1836,157
1837,95
1838,32
1839,122
1840,155
1841,69
1842,126
1843,30
1844,0
1845,0
1846,106
1847,163
1848,35
1849,176
1850,117
1851,36
1852,39
1853,13
1854,268
1855,59
1856,76
1857,66
1858,147
1859,200
1860,52
1861,108
1862,0
1863,187
1864,0
1865,145
1866,471
1867,66
1868,182
1869,67
1870,160
1871,0
1872,47
1873,651
1874,0
1875,128
1876,32
1877,51
1878,0
1879,74
1880,289
1881,0
1882,124
1883,80
1884,91
1885,153
1886,528
1887,198
1888,47
1889,222
1890,226
1891,272
1892,132
1893,178
1894,13
1895,0
1896,61
1897,63
1898,427
1899,0
1900,806
1901,147
1902,707
1903,144
1904,126
1905,177
1906,90
1907,0
1908,183
1909,191
1910,71
1911,411
1912,433
1913,12
1914,45
1915,143
1916,142
1917,207
1918,322
1919,0
1920,208
1921,75
1922,92
1923,208
1924,86
1925,3
1926,129
1927,295
1928,27
1929,73
1930,174
1931,302
1932,209
1933,216
1934,196
1935,118
1936,44
1937,21
1938,210
1939,193
1940,0
1941,16
1942,104
1943,224
1944,223
1945,75
1946,20
1947,147
1948,9
1949,43
1950,265
1951,351
1952,19
1953,253
1954,269
1955,108
1956,40
1957,138
1958,264
1959,0
1960,37
1961,102
1962,206
1963,568
1964,373
1965,0
1966,52
1967,162
1968,44
1969,226
1970,206
1971,40
1972,218
1973,352
1974,107
1975,455
1976,75
1977,29
1978,60
1979,45
1980,145
1981,96
1982,68
1983,220
1984,57
1985,108
1986,263
1987,38
1988,20
1989,120
1990,0
1991,0
1992,223
1993,15
1994,55
1995,373
1996,225
1997,187
1998,37
1999,21
2000,58
2001,411
2002,517
2003,347
2004,331
2005,0
2006,233
2007,0
2008,0
2009,138
2010,0
2011,39
2012,0
2013,234
2014,270
2015,84
2016,62
2017,0
2018,141
2019,13
2020,0
2021,117
2022,296
2023,69
2024,0
2025,24
2026,37
2027,0
2028,168
2029,194
2030,258
2031,144
2032,315
2033,400
2034,143
2035,218
2036,26
2037,119
2038,323
2039,117
2040,1102
2041,65
2042,86
2043,131
2044,99
2045,341
2046,103
2047,64
2048,50
2049,173
2050,214
2051,91
2052,160
2053,113
2054,72
2055,21
2056,0
2057,169
2058,9
2059,59
2060,163
2061,119
2062,0
2063,29
2064,65
2065,0
2066,27
2067,167
2068,123
2069,612
2070,0
2071,39
2072,58
2073,113
2074,73
2075,85
2076,8
2077,122
2078,204
2079,43
2080,152
2081,0
2082,106
2083,23
2084,158
2085,173
2086,234
2087,99
2088,223
2089,836
2090,126
2091,20
2092,328
2093,74
2094,157
2095,0
2096,199
2097,96
2098,165
2099,157
2100,175
2101,100
2102,110
2103,47
2104,149
2105,58
2106,414
2107,163
2108,94
2109,144
2110,53
2111,149
2112,446
2113,123
2114,220
2115,0
2116,3
2117,57
2118,291
2119,130
2120,58
2121,21
2122,129
2123,37
2124,400
2125,20
2126,274
2127,184
2128,3
2129,44
2130,62
2131,197
2132,230
2133,142
2134,46
2135,63
2136,97
2137,486
2138,85
2139,93
2140,79
2141,777
2142,96
2143,310
2144,32
2145,289
2146,0
2147,77
2148,13
2149,580
2150,93
2151,52
2152,83
2153,0
2154,54
2155,0
2156,208
2157,7
2158,389
2159,261
2160,57
2161,67
2162,49
2163,0
2164,513
2165,84
2166,44
2167,13
2168,164
2169,278
2170,0
2171,128
2172,64
2173,98
2174,193
2175,190
2176,36
2177,84
2178,137
2179,131
2180,8
2181,211
2182,140
2183,340
2184,53
2185,0
2186,182
2187,425
2188,145
2189,115
2190,86
2191,12
2192,164
2193,43
2194,88
2195,0
2196,57
2197,0
2198,48
2199,174
2200,104
2201,57
2202,246
2203,105
2204,61
2205,288
2206,215
2207,66
2208,99
2209,75
2210,13
2211,94
2212,27
2213,86
2214,132
2215,18
2216,13
2217,2
2218,33
2219,37
2220,559
2221,674
2222,55
2223,45
2224,45
2225,20
2226,167
2227,60
2228,160
2229,391
2230,63
2231,370
2232,0
2233,99
2234,198
2235,151
2236,11
2237,0
2238,5
2239,153
2240,56
2241,312
2242,247
2243,178
2244,399
2245,163
2246,79
2247,0
2248,67
2249,81
2250,0
2251,0
2252,0
2253,0
2254,183
2255,53
2256,116
2257,225
2258,6
2259,66
2260,143
2261,482
2262,60
2263,74
2264,63
2265,44
2266,114
2267,12
2268,214
2269,106
2270,46
2271,8
2272,118
2273,40
2274,0
2275,68
2276,127
2277,65
2278,163
2279,48
2280,26
2281,47
2282,133
2283,202
2284,0
2285,70
2286,53
2287,29
2288,14
2289,31
2290,167
2291,154
2292,235
2293,6
2294,26
2295,0
2296,72
2297,91
2298,104
2299,2
2300,15
2301,36
2302,105
2303,278
2304,385
2305,481
2306,49
2307,258
2308,93
2309,286
2310,57
2311,89
2312,112
2313,3
2314,153
2315,27
2316,0
2317,0
2318,3
2319,216
2320,78
2321,223
2322,53
2323,104
2324,156
2325,246
2326,61
2327,105
2328,37
2329,0
2330,36
2331,138
2332,126
2333,96
2334,181
2335,101
2336,57
2337,151
2338,274
2339,127
2340,61
2341,73
2342,143
2343,160
2344,182
2345,44
2346,25
2347,110
2348,183
2349,363
2350,21
2351,173
2352,292
2353,0
2354,157
2355,56
2356,1
2357,0
2358,235
2359,371
2360,56
2361,33
2362,73
2363,86
2364,0
2365,0
2366,58
2367,88
2368,122
2369,131
2370,57
2371,245
2372,37
2373,33
2374,48
2375,171
2376,187
2377,98
2378,290
2379,0
2380,162
2381,165
2382,203
2383,0
2384,263
2385,27
2386,208
2387,158
2388,0
2389,103
2390,322
2391,259
2392,0
2393,63
2394,73
2395,150
2396,96
2397,82
2398,169
2399,291
2400,26
2401,81
2402,408
2403,43
2404,54
2405,16
2406,179
2407,220
2408,352
2409,150
2410,52
2411,50
2412,57
2413,110
2414,51
2415,847
2416,120
2417,0
2418,0
2419,0
2420,940
2421,0
2422,82
2423,86
2424,3
2425,0
2426,39
2427,2617
2428,77
2429,25
2430,80
2431,135
2432,97
2433,35
2434,0
2435,29
2436,228
2437,337
2438,30
2439,192
2440,373
2441,0
2442,98
2443,0
2444,0
2445,182
2446,0
2447,205
2448,48
2449,332
2450,83
2451,28
2452,30
2453,114
2454,172
2455,140
2456,112
2457,0
2458,99
2459,142
2460,97
2461,102
2462,52
2463,396
2464,0
2465,46
2466,150
2467,412
2468,115
2469,184
2470,0
2471,59
2472,0
2473,191
2474,0
2475,0
2476,155
2477,0
2478,409
2479,0
2480,249
2481,128
2482,12
2483,0
2484,66
2485,193
2486,72
2487,232
2488,185
2489,179
2490,179
2491,80
2492,87
2493,42
2494,29
2495,49
2496,66
2497,207
2498,484
2499,9
2500,745
2501,165
2502,124
2503,92
2504,23
2505,0
2506,23
2507,70
2508,26
2509,221
2510,176
2511,226
2512,84
2513,0
2514,316
2515,0
2516,237
2517,393
2518,71
2519,82
2520,28
2521,0
2522,174
2523,235
2524,49
2525,9
2526,166
2527,542
2528,219
2529,268
2530,11
2531,327
2532,250
2533,106
2534,305
2535,61
2536,455
2537,445
2538,0
2539,37
2540,100
2541,0
2542,68
2543,81
2544,66
2545,412
2546,0
2547,174
2548,28
2549,0
2550,69
2551,621
2552,130
2553,18
2554,51
2555,58
2556,165
2557,88
2558,13
2559,184
2560,111
2561,129
2562,116
2563,49
2564,59
2565,126
2566,0
2567,73
2568,0
2569,43
2570,28
2571,73
2572,178
2573,49
2574,106
2575,160
2576,54
2577,42
2578,88
2579,16
2580,72
2581,0
2582,150
2583,40
2584,397
2585,104
2586,144
2587,39
2588,66
2589,194
2590,220
2591,0
2592,0
2593,0
2594,100
2595,88
2596,0
2597,76
2598,57
2599,31
2600,30
2601,7
2602,114
2603,456
2604,104
2605,30
2606,162
2607,69
2608,30
2609,32
2610,76
2611,50
2612,14
2613,32
2614,60
2615,146
2616,0
2617,89
2618,54
2619,30
2620,0
2621,215
2622,180
2623,0
2624,384
2625,0
2626,98
2627,53
2628,66
2629,81
2630,140
2631,132
2632,66
2633,60
2634,221
2635,70
2636,367
2637,0
2638,333
2639,0
2640,34
2641,288
2642,411
2643,118
2644,67
2645,138
2646,65
2647,66
2648,55
2649,68
2650,349
2651,0
2652,154
2653,98
2654,112
2655,81
2656,72
2657,66
2658,61
2659,54
2660,40
2661,302
2662,139
2663,450
2664,408
2665,509
2666,0
2667,174
2668,167
2669,32
2670,283
2671,209
2672,77
2673,55
2674,211
2675,168
2676,234
2677,28
2678,328
2679,0
2680,51
2681,78
2682,272
2683,42
2684,82
2685,259
2686,0
2687,402
2688,92
2689,356
2690,1003
2691,62
2692,317
2693,147
2694,25
2695,7
2696,71
2697,59
2698,190
2699,134
2700,60
2701,150
2702,101
2703,350
2704,0
2705,0
2706,63
2707,131
2708,165
2709,194
2710,60
2711,53
2712,0
2713,60
2714,72
2715,37
2716,50
2717,214
2718,106
2719,0
2720,137
2721,252
2722,0
2723,60
2724,48
2725,252
2726,310
2727,293
2728,32
2729,45
2730,68
2731,129
2732,228
2733,0
2734,255
2735,60
2736,64
2737,57
2738,174
2739,208
2740,316
2741,2
2742,54
2743,76
2744,43
2745,79
2746,191
2747,186
2748,227
2749,50
2750,135
2751,43
2752,50
2753,55
2754,75
2755,280
2756,78
2757,357
2758,115
2759,30
2760,209
2761,114
2762,0
2763,112
2764,83
2765,126
2766,468
2767,507
2768,47
2769,41
2770,475
2771,160
2772,96
2773,138
2774,0
2775,98
2776,113
2777,161
2778,30
2779,442
2780,94
2781,103
2782,0
2783,89
2784,146
2785,182
2786,225
2787,30
2788,79
2789,217
2790,46
2791,60
2792,62
2793,141
2794,45
2795,69
2796,51
2797,0
2798,224
2799,146
2800,263
2801,56
2802,106
2803,47
2804,0
2805,123
2806,88
2807,77
2808,4
2809,96
2810,17
2811,99
2812,92
2813,55
2814,197
2815,42
2816,3
2817,166
2818,91
2819,12
2820,713
2821,112
2822,71
2823,103
2824,85
2825,637
2826,143
2827,0
2828,177
2829,55
2830,66
2831,0
2832,62
2833,539
2834,152
2835,7
2836,60
2837,142
2838,273
2839,174
2840,269
2841,0
2842,39
2843,102
2844,138
2845,0
2846,72
2847,90
2848,95
2849,39
2850,0
2851,288
2852,49
2853,210
2854,313
2855,54
2856,29
2857,66
2858,423
2859,24
2860,118
2861,47
2862,41
2863,31
2864,33
2865,48
2866,107
2867,12
2868,115
2869,14
2870,76
2871,102
2872,116
2873,130
2874,7
2875,147
2876,64
2877,193
2878,24
2879,19
2880,56
2881,0
2882,55
2883,0
2884,222
2885,122
2886,147
2887,125
2888,3
2889,18
2890,264
2891,0
2892,391
2893,77
2894,61
2895,210
2896,0
2897,96
2898,97
2899,37
2900,207
2901,77
2902,0
2903,303
2904,47
2905,78
2906,251
2907,7
2908,98
2909,49
2910,467
2911,23
2912,0
2913,156
2914,70
2915,190
2916,477
2917,0
2918,67
2919,51
2920,26
2921,48
2922,23
2923,250
2924,41
2925,78
2926,106
2927,153
2928,0
2929,121
2930,123
2931,26
2932,12
2933,265
2934,38
2935,150
2936,73
2937,87
2938,206
2939,136
2940,58
2941,8
2942,333
2943,111
2944,113
2945,357
2946,0
2947,88
2948,139
2949,0
2950,92
2951,67
2952,0
2953,3
2954,0
2955,119
2956,75
2957,272
2958,0
2959,370
2960,134
2961,320
2962,18
2963,186
2964,0
2965,91
2966,114
2967,83
2968,0
2969,99
2970,248
2971,191
2972,108
2973,326
2974,0
2975,114
2976,246
2977,116
2978,21
2979,87
2980,0
2981,76
2982,0
2983,159
2984,94
2985,0
2986,262
2987,135
2988,96
2989,109
2990,0
2991,0
2992,170
2993,78
2994,251
2995,59
2996,32
