,value
0,453
1,70
2,555
3,7
4,91
5,74
6,127
7,74
8,993
9,842
10,10
11,8
12,109
13,497
14,88
15,0
16,71
17,67
18,30
19,135
20,112
21,49
22,88
23,169
24,0
25,3
26,213
27,33
28,34
29,204
30,505
31,216
32,56
33,271
34,54
35,0
36,115
37,138
38,6
39,76
40,40
41,27
42,91
43,34
44,188
45,32
46,174
47,363
48,231
49,47
50,78
51,18
52,443
53,99
54,1
55,0
56,41
57,72
58,81
59,60
60,7
61,320
62,55
63,216
64,312
65,180
66,0
67,352
68,88
69,13
70,117
71,38
72,64
73,37
74,93
75,736
76,73
77,0
78,0
79,216
80,336
81,344
82,73
83,422
84,89
85,37
86,211
87,9
88,0
89,86
90,20
91,36
92,0
93,61
94,53
95,53
96,172
97,143
98,35
99,252
100,0
101,19
102,31
103,503
104,130
105,159
106,429
107,410
108,219
109,80
110,309
111,487
112,100
113,437
114,156
115,14
116,0
117,81
118,132
119,160
120,555
121,5
122,14
123,70
124,92
125,92
126,211
127,8
128,50
129,34
130,2
131,31
132,212
133,130
134,352
135,23
136,68
137,473
138,0
139,97
140,79
141,51
142,46
143,133
144,184
145,129
146,121
147,285
148,37
149,153
150,320
151,142
152,115
153,0
154,3
155,152
156,68
157,67
158,0
159,75
160,436
161,189
162,67
163,163
164,39
165,422
166,88
167,19
168,109
169,98
170,267
171,378
172,374
173,0
174,30
175,75
176,121
177,68
178,53
179,33
180,81
181,97
182,360
183,41
184,406
185,397
186,25
187,236
188,61
189,108
190,100
191,99
192,0
193,295
194,54
195,163
196,86
197,98
198,0
199,194
200,41
201,142
202,161
203,80
204,537
205,80
206,40
207,154
208,213
209,0
210,132
211,307
212,329
213,62
214,147
215,117
216,145
217,132
218,0
219,26
220,110
221,2
222,232
223,0
224,0
225,68
226,61
227,156
228,0
229,107
230,110
231,22
232,29
233,0
234,123
235,119
236,115
237,0
238,189
239,83
240,168
241,108
242,184
243,230
244,24
245,145
246,16
247,62
248,25
249,193
250,21
251,87
252,48
253,61
254,108
255,181
256,277
257,63
258,19
259,0
260,825
261,80
262,130
263,61
264,17
265,479
266,125
267,40
268,58
269,145
270,91
271,816
272,70
273,89
274,87
275,153
276,204
277,244
278,62
279,60
280,76
281,163
282,155
283,0
284,200
285,243
286,330
287,214
288,109
289,62
290,0
291,0
292,59
293,86
294,131
295,103
296,0
297,52
298,77
299,0
300,49
301,94
302,217
303,0
304,39
305,64
306,78
307,818
308,144
309,30
310,225
311,214
312,125
313,64
314,91
315,279
316,38
317,124
318,36
319,26
320,58
321,80
322,231
323,244
324,0
325,101
326,0
327,219
328,206
329,159
330,61
331,43
332,192
333,123
334,376
335,113
336,83
337,0
338,42
339,12
340,71
341,119
342,49
343,107
344,1437
345,210
346,381
347,70
348,79
349,107
350,72
351,53
352,77
353,39
354,108
355,151
356,0
357,0
358,37
